# Goxel 0.10.6
# One line per voxel
# X Y Z RRGGBB
0 -1 9 a5a5a5
0 -1 10 a0a0a0
0 0 0 503612
0 0 1 503612
0 0 2 584120
0 0 3 43351e
0 0 4 503612
0 0 5 503612
0 0 6 4a3312
0 0 7 5c421a
0 3 7 a0a0a0
0 4 7 9e9e9e
0 0 8 5a380e
0 2 8 9e9e9e
0 3 8 a1a1a1
0 4 8 a1a1a1
0 0 9 a1a1a1
1 0 9 a0a0a0
0 1 9 9e9e9e
0 2 9 9e9e9e
0 3 9 a1a1a1
0 4 9 9e9e9e
0 0 10 989898
1 0 10 a0a0a0
0 1 10 a0a0a0
0 2 10 9e9e9e
0 3 10 9e9e9e
0 4 10 9e9e9e
0 0 11 5c421a
0 2 11 a0a0a0
0 3 11 9e9e9e
0 4 11 a1a1a1
0 3 12 9e9e9e
0 4 12 9e9e9e
-1 0 9 a0a0a0
-1 0 10 a0a0a0
