# Goxel 0.10.6
# One line per voxel
# X Y Z RRGGBB
0 0 0 920088
1 0 0 920088
2 0 0 920088
3 0 0 920088
4 0 0 920088
5 0 0 920088
6 0 0 920088
7 0 0 920088
8 0 0 920088
0 1 0 920088
1 1 0 c400bc
2 1 0 c400bc
3 1 0 c400bc
4 1 0 c400bc
5 1 0 c400bc
6 1 0 c400bc
7 1 0 c400bc
8 1 0 920088
0 2 0 920088
1 2 0 c400bc
2 2 0 c400bc
3 2 0 cdd300
4 2 0 cdd300
5 2 0 cdd300
6 2 0 c400bc
7 2 0 c400bc
8 2 0 920088
0 3 0 920088
1 3 0 c400bc
2 3 0 cdd300
3 3 0 c400bc
4 3 0 c400bc
5 3 0 c400bc
6 3 0 cdd300
7 3 0 c400bc
8 3 0 920088
0 4 0 920088
1 4 0 c400bc
2 4 0 c400bc
3 4 0 c400bc
4 4 0 cdd300
5 4 0 cdd300
6 4 0 c400bc
7 4 0 c400bc
8 4 0 920088
0 5 0 920088
1 5 0 c400bc
2 5 0 c400bc
3 5 0 c400bc
4 5 0 c400bc
5 5 0 c400bc
6 5 0 c400bc
7 5 0 c400bc
8 5 0 920088
0 6 0 920088
1 6 0 c400bc
2 6 0 c400bc
3 6 0 c400bc
4 6 0 cdd300
5 6 0 c400bc
6 6 0 c400bc
7 6 0 c400bc
8 6 0 920088
0 7 0 920088
1 7 0 c400bc
2 7 0 c400bc
3 7 0 c400bc
4 7 0 c400bc
5 7 0 c400bc
6 7 0 c400bc
7 7 0 c400bc
8 7 0 920088
0 8 0 920088
1 8 0 920088
2 8 0 920088
3 8 0 920088
4 8 0 920088
5 8 0 920088
6 8 0 920088
7 8 0 920088
8 8 0 920088
0 0 1 920088
1 0 1 c400bc
2 0 1 c400bc
3 0 1 c400bc
4 0 1 c400bc
5 0 1 c400bc
6 0 1 c400bc
7 0 1 c400bc
8 0 1 920088
0 1 1 c400bc
1 1 1 ffffff
2 1 1 ffffff
3 1 1 ffffff
4 1 1 ffffff
5 1 1 ffffff
6 1 1 ffffff
7 1 1 ffffff
8 1 1 c400bc
0 2 1 c400bc
1 2 1 ffffff
2 2 1 ffffff
3 2 1 ffffff
4 2 1 ffffff
5 2 1 ffffff
6 2 1 ffffff
7 2 1 ffffff
8 2 1 c400bc
0 3 1 c400bc
1 3 1 ffffff
2 3 1 ffffff
3 3 1 ffffff
4 3 1 ffffff
5 3 1 ffffff
6 3 1 ffffff
7 3 1 ffffff
8 3 1 c400bc
0 4 1 c400bc
1 4 1 ffffff
2 4 1 ffffff
3 4 1 ffffff
4 4 1 ffffff
5 4 1 ffffff
6 4 1 ffffff
7 4 1 ffffff
8 4 1 c400bc
0 5 1 c400bc
1 5 1 ffffff
2 5 1 ffffff
3 5 1 ffffff
4 5 1 ffffff
5 5 1 ffffff
6 5 1 ffffff
7 5 1 ffffff
8 5 1 c400bc
0 6 1 c400bc
1 6 1 ffffff
2 6 1 ffffff
3 6 1 ffffff
4 6 1 ffffff
5 6 1 ffffff
6 6 1 ffffff
7 6 1 ffffff
8 6 1 c400bc
0 7 1 c400bc
1 7 1 ffffff
2 7 1 ffffff
3 7 1 ffffff
4 7 1 ffffff
5 7 1 ffffff
6 7 1 ffffff
7 7 1 ffffff
8 7 1 c400bc
0 8 1 920088
1 8 1 c400bc
2 8 1 c400bc
3 8 1 c400bc
4 8 1 c400bc
5 8 1 c400bc
6 8 1 c400bc
7 8 1 c400bc
8 8 1 920088
0 0 2 920088
1 0 2 c400bc
2 0 2 c400bc
3 0 2 c400bc
4 0 2 cdd300
5 0 2 c400bc
6 0 2 c400bc
7 0 2 c400bc
8 0 2 920088
0 1 2 c400bc
1 1 2 ffffff
2 1 2 ffffff
3 1 2 ffffff
4 1 2 ffffff
5 1 2 ffffff
6 1 2 ffffff
7 1 2 ffffff
8 1 2 c400bc
0 2 2 c400bc
1 2 2 ffffff
2 2 2 ffffff
3 2 2 ffffff
4 2 2 ffffff
5 2 2 ffffff
6 2 2 ffffff
7 2 2 ffffff
8 2 2 c400bc
0 3 2 c400bc
1 3 2 ffffff
2 3 2 ffffff
3 3 2 ffffff
4 3 2 ffffff
5 3 2 ffffff
6 3 2 ffffff
7 3 2 ffffff
8 3 2 c400bc
0 4 2 cdd300
1 4 2 ffffff
2 4 2 ffffff
3 4 2 ffffff
4 4 2 ffffff
5 4 2 ffffff
6 4 2 ffffff
7 4 2 ffffff
8 4 2 cdd300
0 5 2 c400bc
1 5 2 ffffff
2 5 2 ffffff
3 5 2 ffffff
4 5 2 ffffff
5 5 2 ffffff
6 5 2 ffffff
7 5 2 ffffff
8 5 2 c400bc
0 6 2 c400bc
1 6 2 ffffff
2 6 2 ffffff
3 6 2 ffffff
4 6 2 ffffff
5 6 2 ffffff
6 6 2 ffffff
7 6 2 ffffff
8 6 2 c400bc
0 7 2 c400bc
1 7 2 ffffff
