# Goxel 0.10.6
# One line per voxel
# X Y Z RRGGBB
0 -3 0 7d5435
1 -3 0 7d5435
2 -3 0 7d5435
3 -3 0 7d5435
4 -3 0 7d5435
0 -2 0 7d5435
1 -2 0 7d5435
2 -2 0 7d5435
3 -2 0 7d5435
4 -2 0 7d5435
0 -1 0 7d5435
1 -1 0 7d5435
2 -1 0 7d5435
3 -1 0 7d5435
4 -1 0 7d5435
0 -3 1 7d5435
1 -3 1 7d5435
2 -3 1 7d5435
3 -3 1 7d5435
4 -3 1 7d5435
4 -2 1 7d5435
4 -1 1 7d5435
0 -3 2 7d5435
3 -3 2 7d5435
4 -3 2 7d5435
4 -2 2 7d5435
4 -1 2 7d5435
0 -3 3 7d5435
3 -3 3 7d5435
4 -3 3 7d5435
4 -2 3 7d5435
4 -1 3 7d5435
0 -3 4 7d5435
1 -3 4 7d5435
2 -3 4 7d5435
3 -3 4 7d5435
4 -3 4 7d5435
4 -2 4 7d5435
4 -1 4 7d5435
0 -4 5 503728
1 -4 5 503728
2 -4 5 503728
3 -4 5 503728
4 -4 5 503728
5 -4 5 503728
0 -3 5 503728
1 -3 5 503728
2 -3 5 503728
3 -3 5 503728
4 -3 5 503728
0 -2 5 503728
1 -2 5 503728
2 -2 5 503728
3 -2 5 503728
4 -2 5 7d5435
0 -1 5 503728
1 -1 5 503728
2 -1 5 503728
3 -1 5 503728
4 -1 5 7d5435
0 -3 6 503728
1 -3 6 503728
2 -3 6 503728
3 -3 6 503728
4 -3 6 503728
5 -3 6 503728
0 -2 6 503728
1 -2 6 503728
2 -2 6 503728
3 -2 6 503728
4 -2 6 503728
4 -1 6 7d5435
0 -2 7 503728
1 -2 7 503728
2 -2 7 503728
3 -2 7 503728
4 -2 7 503728
5 -2 7 503728
0 -1 7 503728
1 -1 7 503728
2 -1 7 503728
3 -1 7 503728
4 -1 7 503728
0 -1 8 503728
1 -1 8 503728
2 -1 8 503728
3 -1 8 503728
4 -1 8 503728
5 -1 8 503728
-5 -3 0 7d5435
-4 -3 0 7d5435
-3 -3 0 7d5435
-2 -3 0 7d5435
-1 -3 0 7d5435
-5 -2 0 7d5435
-4 -2 0 7d5435
-3 -2 0 7d5435
-2 -2 0 7d5435
-1 -2 0 7d5435
-5 -1 0 7d5435
-4 -1 0 7d5435
-3 -1 0 7d5435
-2 -1 0 7d5435
-1 -1 0 7d5435
-5 -3 1 7d5435
-4 -3 1 7d5435
-3 -3 1 7d5435
-2 -3 1 7d5435
-1 -3 1 7d5435
-5 -2 1 7d5435
-5 -1 1 7d5435
-5 -3 2 7d5435
-4 -3 2 7d5435
-1 -3 2 7d5435
-5 -3 3 7d5435
-4 -3 3 7d5435
-1 -3 3 7d5435
-5 -3 4 7d5435
-4 -3 4 7d5435
-3 -3 4 7d5435
-2 -3 4 7d5435
-1 -3 4 7d5435
-5 -2 4 7d5435
-5 -1 4 7d5435
-6 -4 5 503728
-5 -4 5 503728
-4 -4 5 503728
-3 -4 5 503728
-2 -4 5 503728
-1 -4 5 503728
-5 -3 5 503728
-4 -3 5 503728
-3 -3 5 503728
-2 -3 5 503728
-1 -3 5 503728
-5 -2 5 7d5435
-4 -2 5 503728
-3 -2 5 503728
-2 -2 5 503728
-1 -2 5 503728
-5 -1 5 7d5435
-4 -1 5 503728
-3 -1 5 503728
-2 -1 5 503728
-1 -1 5 503728
-6 -3 6 503728
-5 -3 6 503728
-4 -3 6 503728
-3 -3 6 503728
